fuente_institucional,anio,titulo,id,url
UDEC,2025,Abundancia de órdenes de insectos nocturnos en diferentes ecosistemas de Campus Naturaleza de la Universidad de Concepción.,UDEC_fab7794d62fb5256fa59b1e0e309006a,https://espaciociencia.anid.cl/detalles?id=UDEC_fab7794d62fb5256fa59b1e0e309006a
UCHILE,2025,Actualización del estado del arte respecto de la situación de los ecosistemas chilenos frente a la amenaza del cambio climático,UCHILE_c913f8656c71704b17d92dbacde81514,https://espaciociencia.anid.cl/detalles?id=UCHILE_c913f8656c71704b17d92dbacde81514
UDEC,2025,Análisis de la coherencia entre estudios de impacto ambiental y programas de seguimiento ambiental de centrales hidroeléctricas de la región del Ñuble: Impactos sobre ecosistemas acuáticos continentales.,UDEC_69f7859aefd2e9e96e28d55ebc504f1a,https://espaciociencia.anid.cl/detalles?id=UDEC_69f7859aefd2e9e96e28d55ebc504f1a
UDEC,2025,Conocimientos y actitudes sobre la Biodiversidad en estudiantes del electivo Biología de los Ecosistemas de establecimientos educacionales de la comuna de Los Ángeles.,UDEC_46ec2fd597e8358a0748a839cd541052,https://espaciociencia.anid.cl/detalles?id=UDEC_46ec2fd597e8358a0748a839cd541052
UDEC,2025,Conservación comunitaria de ecosistemas marinos – costeros en las ecorregiones climáticas con influencia costera de Chile.,UDEC_7498ef99e1057048ac40900aab4c332a,https://espaciociencia.anid.cl/detalles?id=UDEC_7498ef99e1057048ac40900aab4c332a
UDEC,2025,Dinámica temporal del reclutamiento en anchoveta (engraulis ringens) de Chile centro sur y su impacto en el manejo pesquero.,UDEC_660fcab098317a9f9be613ad11d95734,https://espaciociencia.anid.cl/detalles?id=UDEC_660fcab098317a9f9be613ad11d95734
UDEC,2025,Evaluando el efecto de la temperatura sobre el desempeño y respuestas fisiológicas de estadios larvales de centolla de Magallanes (Lithodes santolla) ante escenarios de calentamiento global.,UDEC_05a75f0aea21b3228990ba3b8ce761d2,https://espaciociencia.anid.cl/detalles?id=UDEC_05a75f0aea21b3228990ba3b8ce761d2
UMAG,2025,Experiencias Bioculturales En Los Ecosistemas De Aysén,UMAG_337c3a89b5b1145af9bc85c2cd9b6cba,https://espaciociencia.anid.cl/detalles?id=UMAG_337c3a89b5b1145af9bc85c2cd9b6cba
SCIELO,2025,"Primeros aportes al conocimiento de los líquenes en ecosistemas del Paso Pehuenche, Región del Maule, Chile",SCIELO_2493b94fc98965e7a62dd1d44afbb47c,https://espaciociencia.anid.cl/detalles?id=SCIELO_2493b94fc98965e7a62dd1d44afbb47c
PUC,2025,Promoción de una cultura del habla en la asignatura de biología de los ecosistemas: un estudio colaborativo,PUC_dd579d3e709bf0afe298f4472ddd890f,https://espaciociencia.anid.cl/detalles?id=PUC_dd579d3e709bf0afe298f4472ddd890f
PUC,2025,Subsidios de formalización laboral femenina: una propuesta de rediseño para aumentar coberturas en el ecosistema beneficiario,PUC_a8c3ed8cca5382614ecefc025dc7c9a0,https://espaciociencia.anid.cl/detalles?id=PUC_a8c3ed8cca5382614ecefc025dc7c9a0
PUC,2024,"APOPTOSIS: investigación a partir de pigmentos fúngicos, árboles y ecología del bosque",PUC_649e6578d76d89cec22b74040aa85cff,https://espaciociencia.anid.cl/detalles?id=PUC_649e6578d76d89cec22b74040aa85cff
UCHILE,2024,Análisis de la aplicación de restricciones en la operación de centrales hidroeléctricas en la cuenca del Río Bío Bío para la conservación del ecosistema fluvial,UCHILE_96893b03471adcbddddfbd72073f2841,https://espaciociencia.anid.cl/detalles?id=UCHILE_96893b03471adcbddddfbd72073f2841
UDEC,2024,Análisis del Efecto Biofiltrador del bivalvo Diplodon chilensis en la Dinámica de un Ecosistema Acuático Eutrofizado.,UDEC_a8ddf5e1679d1aa6ecc2be6fc41121d0,https://espaciociencia.anid.cl/detalles?id=UDEC_a8ddf5e1679d1aa6ecc2be6fc41121d0
UCHILE,2024,Ciencia al extremo : centro de estudio y monitoreo de ecosistemas de turberas frente al cambio climático en la Patagonia,UCHILE_81c26097d16f1ecedf29237cb435ac7f,https://espaciociencia.anid.cl/detalles?id=UCHILE_81c26097d16f1ecedf29237cb435ac7f
UDEC,2024,"Convivencia de discursos respecto a apropiación de la naturaleza y procesos de comunalización, en relación a la gobernanza del ecosistema Laguna Junquillar.",UDEC_91194368216a0dfed66cfaeb34a7c55b,https://espaciociencia.anid.cl/detalles?id=UDEC_91194368216a0dfed66cfaeb34a7c55b
UDEC,2024,"Cuantificación del almacenamiento de carbono orgánico como indicador del servicio de regulación climática de los ecosistemas boscosos del Parque Nacional Nonguén, Chile.",UDEC_bce52b4c2a481df79406225194bdb56f,https://espaciociencia.anid.cl/detalles?id=UDEC_bce52b4c2a481df79406225194bdb56f
REPO,2024,Extracted Eucalyptus globulus Bark Fiber as a Potential Substrate for Pinus radiata and Quillaja saponaria Germination,Repo_ANID_395c9b6d9fbc4823138d15257b4249a1,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_395c9b6d9fbc4823138d15257b4249a1
UCHILE,2024,Impactos del cambio climático en ecosistemas de montañas sobre la salud mental de montañistas en Chile,UCHILE_3448a0edfc41d7be3004cf0061b76e36,https://espaciociencia.anid.cl/detalles?id=UCHILE_3448a0edfc41d7be3004cf0061b76e36
SCIELO,2024,Los ecosistemas del elemento &#8216;eco-&#8217;: de la analogía a la transgresión,SCIELO_35dbad6256a9fa01efb927fa698ed4ba,https://espaciociencia.anid.cl/detalles?id=SCIELO_35dbad6256a9fa01efb927fa698ed4ba
UDEC,2024,Physiological responses to upwelling-induced hypoxia in epipelagic copepods inhabiting the coastal zone in central-southern Chile.,UDEC_d57dc39cd71cc83e80d9f69b2828639a,https://espaciociencia.anid.cl/detalles?id=UDEC_d57dc39cd71cc83e80d9f69b2828639a
UCHILE,2024,Plataforma web de monitoreo de memoristas del departamento de ciencias de la computación,UCHILE_41f02aa8bd81c84518f2acd594c091f5,https://espaciociencia.anid.cl/detalles?id=UCHILE_41f02aa8bd81c84518f2acd594c091f5
SCIELO,2024,Propuestas de restauración ecológica en áreas ribereñas del trópico húmedo de México,SCIELO_3013ddf9b5003a2fc7af8c9560e6042c,https://espaciociencia.anid.cl/detalles?id=SCIELO_3013ddf9b5003a2fc7af8c9560e6042c
ANID,2024,Red Firewall Alianzas Para La Restauracion Y Adaptacion De Ecosistemas Naturales Frente A Incendios Forestales Y Cambio Global.,ANID_Infor_61149ae1d1f53b6cf05c80425bf65d6a,https://espaciociencia.anid.cl/detalles?id=ANID_Infor_61149ae1d1f53b6cf05c80425bf65d6a
ANID,2024,Relación vegetación polen clima en ecosistemas de cordillera en la región semiárida de Chile durante los últimos 4000 años,ANID_3fdf6184f216f40a5e75b7ebd7b94ee2,https://espaciociencia.anid.cl/detalles?id=ANID_3fdf6184f216f40a5e75b7ebd7b94ee2
UDEC,2024,Resiliencia de ecosistemas fluviales: análisis mediante rasgos empíricos de ensambles de peces.,UDEC_0b1fa3b37e64c3fdffc08ff8b244d8f9,https://espaciociencia.anid.cl/detalles?id=UDEC_0b1fa3b37e64c3fdffc08ff8b244d8f9
UDEC,2024,Riqueza de órdenes de insectos caminadores en diferentes ecosistemas en Campus Naturaleza de la Universidad de Concepción.,UDEC_65a57fd1ca10ea49b340c6d53268b37e,https://espaciociencia.anid.cl/detalles?id=UDEC_65a57fd1ca10ea49b340c6d53268b37e
UDEC,2024,Rol de los senderos de montaña en la redistribución de plantas no nativas en ecosistemas andinos de áreas protegidas del centro sur de Chile.,UDEC_4d343759aa0f4973b778e1695d0a380b,https://espaciociencia.anid.cl/detalles?id=UDEC_4d343759aa0f4973b778e1695d0a380b
